time,isFallen,recoveryState,recoveryTimer,up_z,isProne,r_hip_tgt,r_knee_tgt,r_ankle_tgt,r_arm_tgt
0.362,1,0,0.196,-0.435728,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.197,-0.440742,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.198,-0.445742,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.199,-0.450729,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.2,-0.455701,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.201,-0.46066,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.202,-0.465603,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.203,-0.465795,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.204,-0.465987,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.205,-0.466171,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.206,-0.466347,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.207,-0.466516,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.208,-0.466678,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.209,-0.466832,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.21,-0.466978,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.211,-0.467117,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.212,-0.467248,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.213,-0.467372,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.214,-0.467489,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.215,-0.467597,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.216,-0.467699,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.217,-0.467792,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.218,-0.467879,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.219,-0.467958,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.22,-0.468029,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.221,-0.468093,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.222,-0.468149,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.223,-0.468198,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.224,-0.468239,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.225,-0.468272,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.226,-0.468299,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.227,-0.468317,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.228,-0.468329,0,-0.04,0.04,0,-0.0984229
